#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	HUM0038_S10_R1_001d_bacterial_metagenome	HUM0041_S14_R1_001d_bacterial_metagenome	HUM0042_S1_R1_001d_bacterial_metagenome	HUM0148_S21_R1_001d_bacterial_metagenome	HUM0149_S28_R1_001d_bacterial_metagenome	HUM0152_S5_R1_001d_bacterial_metagenome	HUM0233_S187_R1_001d_bacterial_metagenome	HUM0235_S45_R1_001d_bacterial_metagenome	HUM0322_S282_R1_001d_bacterial_metagenome	HUM0324_S20_R1_001d_bacterial_metagenome	HUM0329_S27_R1_001d_bacterial_metagenome	HUM0439_S41_R1_001d_bacterial_metagenome	HUM0442_S283_R1_001d_bacterial_metagenome	HUM0444_S50_R1_001d_bacterial_metagenome	HUM0493_S42_R1_001d_bacterial_metagenome	HUM0495_S7_R1_001d_bacterial_metagenome	HUM0496_S6_R1_001d_bacterial_metagenome	HUM0579_S34_R1_001d_bacterial_metagenome	HUM0582_S39_R1_001d_bacterial_metagenome	HUM0583_S186_R1_001d_bacterial_metagenome	HUM0603_S36_R1_001d_bacterial_metagenome	HUM0604_S51_R1_001d_bacterial_metagenome	HUM0607_S188_R1_001d_bacterial_metagenome	HUM0738_S189_R1_001d_bacterial_metagenome	HUM0739_S190_R1_001d_bacterial_metagenome	HUM0741_S18_R1_001d_bacterial_metagenome	HUM0812_S25_R1_001d_bacterial_metagenome	HUM0816_S37_R1_001d_bacterial_metagenome	HUM0847_S12_R1_001d_bacterial_metagenome	HUM0851_S16_R1_001d_bacterial_metagenome	HUM0853_S48_R1_001d_bacterial_metagenome	HUM0894_S23_R1_001d_bacterial_metagenome	HUM0896_S30_R1_001d_bacterial_metagenome	HUM0898_S38_R1_001d_bacterial_metagenome	HUM0929_S35_R1_001d_bacterial_metagenome	HUM0931_S40_R1_001d_bacterial_metagenome	HUM0932_S19_R1_001d_bacterial_metagenome	HUM0941_S3_R1_001d_bacterial_metagenome	HUM0946_S8_R1_001d_bacterial_metagenome	HUM0991_S11_R1_001d_bacterial_metagenome	HUM0992_S15_R1_001d_bacterial_metagenome	HUM0994_S9_R1_001d_bacterial_metagenome	HUM1014_S22_R1_001d_bacterial_metagenome	HUM1017_S29_R1_001d_bacterial_metagenome	HUM1019_S191_R1_001d_bacterial_metagenome	HUMO546_S16_R1_001d_bacterial_metagenome	HUMO581_S18_R1_001d_bacterial_metagenome	HUMO587_S20_R1_001d_bacterial_metagenome	HUMO609_S56_R1_001d_bacterial_metagenome	HUMO624_S22_R1_001d_bacterial_metagenome	HUMO668_S24_R1_001d_bacterial_metagenome	HUMO678_S60_R1_001d_bacterial_metagenome	HUMO681_S26_R1_001d_bacterial_metagenome	HUMO749_S28_R1_001d_bacterial_metagenome	HUMO752_S30_R1_001d_bacterial_metagenome	HUMO756_S58_R1_001d_bacterial_metagenome	HUMO767_S32_R1_001d_bacterial_metagenome	HUMO775_S34_R1_001d_bacterial_metagenome	HUMO825_S36_R1_001d_bacterial_metagenome	HUMO829_S38_R1_001d_bacterial_metagenome	HUMO830_S62_R1_001d_bacterial_metagenome	HUMO844_S40_R1_001d_bacterial_metagenome	HUMO846_S54_R1_001d_bacterial_metagenome	HUMO848_S42_R1_001d_bacterial_metagenome	HUMO854_S44_R1_001d_bacterial_metagenome	HUMO865_S46_R1_001d_bacterial_metagenome	HUMO887_S48_R1_001d_bacterial_metagenome	HUMO899_S52_R1_001d_bacterial_metagenome	HUMO902_S50_R1_001d_bacterial_metagenome	LMR0004_S4_R1_001d_bacterial_metagenome	LMR0006_S281_R1_001d_bacterial_metagenome	LMR0007_S17_R1_001d_bacterial_metagenome	LMR0008_S47_R1_001d_bacterial_metagenome	LMR0009_S31_R1_001d_bacterial_metagenome	LMR0011_S49_R1_001d_bacterial_metagenome	LMR0012_S52_R1_001d_bacterial_metagenome	LMR0017_S44_R1_001d_bacterial_metagenome	LMR0021_S13_R1_001d_bacterial_metagenome	LMR0022_S46_R1_001d_bacterial_metagenome	LMR0023_S24_R1_001d_bacterial_metagenome	LMR0024_S32_R1_001d_bacterial_metagenome
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	51.54528	50.80391	44.64489	35.47115	48.63274	21.14927	14.69078	20.96017	32.73953	26.41694	27.60318	0.0	0.0	60.32343	29.80436	38.4019	0.0	65.09195	40.43868	36.99746	45.95905	37.23762	19.30356	29.58475	40.06962	11.50479	15.46207	26.65177	37.30166	50.53904	44.2196	25.05885	36.0339	40.60869	100.0	30.44687	0.0	5.5078	33.72518	0.0	0.0	33.91093	33.31592	28.6913	0.0	52.44813	35.81011	31.36295	40.97185	27.52616	18.2994	17.51685	47.96751	49.52343	41.67365	32.6736	30.76962	42.38986	22.17395	35.51447	48.32178	40.89515	62.81365	31.43951	33.98014	48.23805	24.09471	47.26496	30.38098	5.73389	0.0	14.98474	99.98169	99.94224	74.0741	99.86495	59.57901	15.70224	12.68046	72.04966	29.89635
k__Bacteria|p__Bacteroidetes	19.88337	45.43597	28.92779	53.62038	42.54395	7.28844	78.44032	70.25676	57.61242	68.21867	65.04387	0.0	0.0	35.08139	37.60936	52.53654	100.0	17.44	47.38687	50.7277	25.55842	34.844	71.45825	63.09881	44.51212	71.71331	71.37086	64.34396	39.39603	35.45594	3.29678	68.46517	58.70219	51.12574	0.0	57.89989	0.0	94.4922	60.11383	100.0	0.0	59.42964	52.70177	66.83157	0.0	40.43113	46.06203	61.81155	38.12607	66.8822	70.64498	73.93871	35.33758	35.93159	56.59089	48.00464	61.86777	43.28342	49.63223	20.4312	39.43659	46.3149	31.0234	57.39267	59.88789	41.85019	52.20967	45.45632	66.44593	0.0	0.0	0.0	0.0	0.0	3.97927	0.0	0.38422	6.79424	3.22212	0.0721	4.92227
k__Bacteria|p__Spirochaetes	16.18379	0.06146	3.7647	0.0	0.11029	0.0	1.99911	1.39174	0.0	0.0	0.0	0.0	0.0	0.0	1.97843	1.92521	0.0	1.55386	0.0	0.0	0.0	6.82167	2.21269	0.39517	0.0	0.0	0.0	1.83656	0.23696	0.0	0.0	0.0	0.39388	0.0	0.0	0.95135	0.0	0.0	1.49422	0.0	0.0	0.0	0.42208	0.0	0.0	0.5609	0.13631	0.36642	0.43111	0.07322	0.0	0.0	0.07088	7.86508	0.0	0.0	0.17389	0.03645	7.44254	1.07222	0.0	0.0	0.01074	1.04879	0.0	0.0	1.0882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0345	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	4.30761	0.35819	0.69634	3.49817	0.75374	0.24479	0.21295	0.08849	0.0	0.04825	0.0	0.0	0.0	0.0	6.99615	0.85922	0.0	0.04111	0.56862	0.0	1.00925	3.98212	0.15324	0.35386	0.36478	0.0	0.0	1.71921	1.77214	3.66697	0.0	0.0	0.46969	0.0	0.0	1.11697	0.0	0.0	0.0201	0.0	0.0	0.38792	0.40103	0.04274	0.0	0.57071	2.62029	1.71809	0.57436	0.0	0.10382	0.0	0.0	0.00931	0.01202	2.00077	0.05536	3.44678	1.23584	4.91092	0.10825	1.40156	0.0	0.01322	0.07342	0.60302	0.0	0.27434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07779	0.0	0.0
k__Bacteria|p__Actinobacteria	3.13141	0.59189	5.10938	1.3311	3.03306	70.69471	0.18072	0.13869	1.66445	2.56836	4.15176	0.0	0.0	1.72372	0.9147	0.78553	0.0	3.27535	0.82984	2.50908	0.40451	0.45655	0.44594	0.89783	0.7121	16.56544	7.04844	0.6924	10.89485	0.4943	48.18814	1.49785	0.48263	3.16321	0.0	0.83115	0.0	0.0	1.89179	0.0	0.0	2.51079	0.38386	0.0	0.0	0.2107	0.4881	0.09968	1.30104	2.73756	0.73548	0.16158	1.19396	1.54302	0.30134	1.72042	2.78911	8.36549	0.09146	2.10184	5.57999	1.44514	3.18603	0.14079	0.69832	1.67484	0.50742	0.32486	0.16495	0.13783	0.0	1.42006	0.00332	0.0	4.03504	0.01406	0.0	2.6736	1.82849	0.02653	0.25376
k__Bacteria|p__Proteobacteria	3.03028	2.52137	13.45175	5.4708	4.75615	0.62279	1.82285	3.26581	3.83973	2.36092	3.10237	0.0	0.0	2.52035	4.38118	5.10033	0.0	8.73869	7.48377	8.9409	10.14765	5.42269	4.03487	5.477	13.93279	0.21645	3.06525	2.28622	6.5699	5.39591	4.25727	4.97813	0.69055	5.05942	0.0	4.93991	0.0	0.0	2.75337	0.0	0.0	3.39317	11.68518	4.43439	0.0	5.08342	14.78786	4.54038	11.96601	2.53449	10.01671	8.38287	15.43006	2.53911	1.35314	14.12457	3.92817	1.78136	18.71079	16.98403	6.5487	0.48348	2.20533	9.96503	5.03593	4.93601	21.67955	6.18418	3.00814	94.12827	100.0	83.5952	0.01499	0.05776	17.91159	0.12099	23.0724	72.37225	13.09253	27.85171	64.92048
k__Bacteria|p__Elusimicrobia	1.46008	0.09785	0.30649	0.0	0.0	0.0	2.65326	0.80861	0.0	0.05613	0.0	0.0	0.0	0.0	0.11428	0.0	0.0	0.0	3.29223	0.82486	7.71293	10.54482	2.35459	0.0	0.0	0.0	0.0	0.0678	3.59339	3.61797	0.0	0.0	0.53667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0953	0.0	0.0	0.0	0.19961	0.0	0.0	0.18704	0.0	0.0	0.0	0.22422	0.0	0.0	0.0	0.0	0.0	0.0	0.25779	0.0	0.0	0.01197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0504	0.0	0.0
k__Bacteria|p__Verrucomicrobia	0.17065	0.0	0.10962	0.0	0.0	0.0	0.0	0.0	0.02278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04776	0.0	0.0	0.04732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.13007	0.11971	2.02446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81128	0.0	0.0	0.21679	0.19322	0.03687	0.0	0.40859	0.0	0.0	0.0	0.0	0.32896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11182	0.0	0.0	0.19007	0.1023	0.0	0.0472	0.0	0.0	0.0	0.0	0.0	1.53855	0.3553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
