clade_name	clade_taxid	new_LMR0024_S32_R1_001_profiled_metagenome	new_LMR0023_S24_R1_001_profiled_metagenome	new_LMR0022_S46_R1_001_profiled_metagenome	new_LMR0021_S13_R1_001_profiled_metagenome	new_LMR0017_S44_R1_001_profiled_metagenome	new_LMR0012_S52_R1_001_profiled_metagenome	new_LMR0011_S49_R1_001_profiled_metagenome	new_LMR0009_S31_R1_001_profiled_metagenome	new_LMR0008_S47_R1_001_profiled_metagenome	new_LMR0007_S17_R1_001_profiled_metagenome	new_LMR0006_S281_R1_001_profiled_metagenome	new_LMR0004_S4_R1_001_profiled_metagenome	new_HUMO902_S50_R1_001_profiled_metagenome	new_HUMO899_S52_R1_001_profiled_metagenome	new_HUMO887_S48_R1_001_profiled_metagenome	new_HUMO865_S46_R1_001_profiled_metagenome	new_HUMO854_S44_R1_001_profiled_metagenome	new_HUMO848_S42_R1_001_profiled_metagenome	new_HUMO846_S54_R1_001_profiled_metagenome	new_HUMO844_S40_R1_001_profiled_metagenome	new_HUMO830_S62_R1_001_profiled_metagenome	new_HUMO829_S38_R1_001_profiled_metagenome	new_HUMO825_S36_R1_001_profiled_metagenome	new_HUMO775_S34_R1_001_profiled_metagenome	new_HUMO767_S32_R1_001_profiled_metagenome	new_HUMO756_S58_R1_001_profiled_metagenome	new_HUMO752_S30_R1_001_profiled_metagenome	new_HUMO749_S28_R1_001_profiled_metagenome	new_HUMO681_S26_R1_001_profiled_metagenome	new_HUMO678_S60_R1_001_profiled_metagenome	new_HUMO668_S24_R1_001_profiled_metagenome	new_HUMO624_S22_R1_001_profiled_metagenome	new_HUMO609_S56_R1_001_profiled_metagenome	new_HUMO587_S20_R1_001_profiled_metagenome	new_HUMO581_S18_R1_001_profiled_metagenome	new_HUMO546_S16_R1_001_profiled_metagenome	new_HUM1019_S191_R1_001_profiled_metagenome	new_HUM1017_S29_R1_001_profiled_metagenome	new_HUM1014_S22_R1_001_profiled_metagenome	new_HUM0994_S9_R1_001_profiled_metagenome	new_HUM0992_S15_R1_001_profiled_metagenome	new_HUM0991_S11_R1_001_profiled_metagenome	new_HUM0946_S8_R1_001_profiled_metagenome	new_HUM0941_S3_R1_001_profiled_metagenome	new_HUM0932_S19_R1_001_profiled_metagenome	new_HUM0931_S40_R1_001_profiled_metagenome	new_HUM0929_S35_R1_001_profiled_metagenome	new_HUM0898_S38_R1_001_profiled_metagenome	new_HUM0896_S30_R1_001_profiled_metagenome	new_HUM0894_S23_R1_001_profiled_metagenome	new_HUM0853_S48_R1_001_profiled_metagenome	new_HUM0851_S16_R1_001_profiled_metagenome	new_HUM0847_S12_R1_001_profiled_metagenome	new_HUM0816_S37_R1_001_profiled_metagenome	new_HUM0812_S25_R1_001_profiled_metagenome	new_HUM0741_S18_R1_001_profiled_metagenome	new_HUM0739_S190_R1_001_profiled_metagenome	new_HUM0738_S189_R1_001_profiled_metagenome	new_HUM0607_S188_R1_001_profiled_metagenome	new_HUM0604_S51_R1_001_profiled_metagenome	new_HUM0603_S36_R1_001_profiled_metagenome	new_HUM0583_S186_R1_001_profiled_metagenome	new_HUM0582_S39_R1_001_profiled_metagenome	new_HUM0579_S34_R1_001_profiled_metagenome	new_HUM0496_S6_R1_001_profiled_metagenome	new_HUM0495_S7_R1_001_profiled_metagenome	new_HUM0493_S42_R1_001_profiled_metagenome	new_HUM0444_S50_R1_001_profiled_metagenome	new_HUM0442_S283_R1_001_profiled_metagenome	new_HUM0439_S41_R1_001_profiled_metagenome	new_HUM0329_S27_R1_001_profiled_metagenome	new_HUM0324_S20_R1_001_profiled_metagenome	new_HUM0322_S282_R1_001_profiled_metagenome	new_HUM0235_S45_R1_001_profiled_metagenome	new_HUM0233_S187_R1_001_profiled_metagenome	new_HUM0152_S5_R1_001_profiled_metagenome	new_HUM0149_S28_R1_001_profiled_metagenome	new_HUM0148_S21_R1_001_profiled_metagenome	new_HUM0042_S1_R1_001_profiled_metagenome	new_HUM0041_S14_R1_001_profiled_metagenome	new_HUM0038_S10_R1_001_profiled_metagenome
UNCLASSIFIED	-1	38.11597	90.57424	79.64108	65.10051	96.89073	64.0011	70.50779	16.72629	45.56193	99.10109	99.10795	98.82461	28.94155	21.8812	19.81972	13.05541	17.58736	21.73533	19.65634	17.37378	28.66565	15.68463	11.17361	11.11979	17.5116	17.22632	22.75273	12.15663	21.62004	16.45278	12.34405	15.6096	14.21656	14.17241	17.43002	15.1963	0	6.31555	13.19651	18.41577	0	39.96669	19.54364	0	0	17.74505	60.19987	19.26321	18.52423	18.514	30.2968	21.68435	13.01665	19.89355	0	0	12.63471	15.75333	16.84732	25.16112	13.63942	14.87379	14.90242	16.90964	0	16.22486	28.25511	23.34242	0	0	29.34102	16.10996	37.54663	28.12209	17.4701	26.0715	27.29001	17.93406	13.12557	14.6872	24.3771
k__Archaea	2157	0	0	0	0	0.01676	0	0	0	0	0	0	0	0	0.04684	0.14605	0.46937	0	0	0.27047	0	0	0.0391	0.00293	0.22197	0.06518	0	0	1.06585	0	0	0	0	0	0.00281	0.02767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0.11091	0	0	0	0.09512	0	0.00394	0.0302	0.37265	0.05069	0.06777	0.39098	0	0.01163	0	0	0	0	0	0.00466	0.02999	0	0	0	0	0	0.21336	0.02709	0.30893
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01125	0	0	0	0	0.03653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01125	0	0	0	0	0.03653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	2157|2283796|183967|1235850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01125	0	0	0	0	0.03653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae	2157|2283796|183967|1235850|2517203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01125	0	0	0	0	0.03653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus	2157|2283796|183967|1235850|2517203|1291539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01125	0	0	0	0	0.03653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_sp_1R26	2157|2283796|183967|1235850|2517203|1291539|1769296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01125	0	0	0	0	0.03653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_sp_1R26|t__SGB387	2157|2283796|183967|1235850|2517203|1291539|1769296|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01125	0	0	0	0	0.03653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0.01676	0	0	0	0	0	0	0	0	0.04684	0.14605	0.46937	0	0	0.25922	0	0	0.0391	0.00293	0.18545	0.06518	0	0	1.06585	0	0	0	0	0	0.00281	0.02767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138	0.11091	0	0	0	0.09512	0	0.00394	0.0302	0.37265	0.05069	0.06777	0.39098	0	0.01163	0	0	0	0	0	0.00466	0.02999	0	0	0	0	0	0.21336	0.02709	0.30893
