Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HUM0038_S10_R1_001_kneaddata_paired_1	24.03192559	45	145.8112629	9.090909091	8575664
HUM0038_S10_R1_001_kneaddata_paired_2	24.06071066	45	145.8665801	18.18181818	8575664
HUM0041_S14_R1_001_kneaddata_paired_1	18.78209643	48	147.0862201	9.090909091	8079149
HUM0041_S14_R1_001_kneaddata_paired_2	18.63203534	48	146.9000849	18.18181818	8079149
HUM0042_S1_R1_001_kneaddata_paired_1	15.73222999	47	146.3684845	9.090909091	6917566
HUM0042_S1_R1_001_kneaddata_paired_2	15.787355	47	146.1801521	18.18181818	6917566
HUM0148_S21_R1_001_kneaddata_paired_1	27.52238765	45	145.6566324	9.090909091	10300640
HUM0148_S21_R1_001_kneaddata_paired_2	27.48421186	45	145.6177599	18.18181818	10300640
HUM0149_S28_R1_001_kneaddata_paired_1	20.41853932	44	144.7537345	9.090909091	7705193
HUM0149_S28_R1_001_kneaddata_paired_2	20.31607355	44	144.6774237	18.18181818	7705193
HUM0152_S5_R1_001_kneaddata_paired_1	31.75808141	54	145.8621989	9.090909091	6363474
HUM0152_S5_R1_001_kneaddata_paired_2	31.70570677	54	145.6925472	18.18181818	6363474
HUM0232_S2_R1_001_kneaddata_paired_1	0	0	0	0	0
HUM0232_S2_R1_001_kneaddata_paired_2	0	0	0	0	0
HUM0233_S187_R1_001_kneaddata_paired_1	23.65220571	45	147.3316588	9.090909091	5696441
HUM0233_S187_R1_001_kneaddata_paired_2	23.58848316	45	147.0312235	18.18181818	5696441
HUM0235_S45_R1_001_kneaddata_paired_1	28.59595036	43	141.1116342	9.090909091	9866361
HUM0235_S45_R1_001_kneaddata_paired_2	28.50382643	43	141.051717	18.18181818	9866361
HUM0322_S282_R1_001_kneaddata_paired_1	20.09303872	40	96.68788071	9.090909091	8348180
HUM0322_S282_R1_001_kneaddata_paired_2	20.24974806	40	96.83395327	18.18181818	8348180
HUM0324_S20_R1_001_kneaddata_paired_1	25.82714601	47	146.1287615	9.090909091	10126113
HUM0324_S20_R1_001_kneaddata_paired_2	25.76657557	47	146.1106215	18.18181818	10126113
