"","SAMPLE_ID","code1","code2","code3","num1","num2","Gene_Symbol","Gene_symbol2","description","Score","Expected","Template_length","Template_Identity","Template_Coverage","Query_Identity","Query_Coverage","Depth","q_value","p_value","readCount","fragmentCount","mapScoreSum","refCoveredPositions","refConsensusSum","bpTotal","depthVariance","nucHighDepthVariance","depthMax","snpSum","insertSum","deletionSum","readCountAln","fragmentCountAln","template_length_kb","percent_rooted_reads","number_rooted_reads","number_taxon_reads","taxon_rank","taxon_symbol","taxon","Template_Coverage_2","Query_Identity_2"
"1","HUM0038","1028099438","WP_063855884.1","NG_048146.1","1","1","tet(44)","tet(44)","tetracycline_resistance_ribosomal_protection_protein_Tet(44) NG_048146.1:101-2023","   20113","    2036","    1923","   82.16","   83.52","   98.38","  119.74","    4.45","14752.07","1.0e-26",794,"777","8176","1606","1580","8560","12.134271","0","13","130","0","0","67","62",1.923,29.27,2510184,61148,"D",2,"    Bacteria",83.52,98.38
"2","HUM0038","1028100272","WP_063856407.1","NG_048270.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048270.1:101-2026","   97013","    2019","    1926","   99.64","  100.16","   99.48","   99.84","   48.29","91119.05","1.0e-26",1194,"1108","89877","1929","1919","92997","266.431209","0","83","971","69","4","661","577",1.926,29.27,2510184,61148,"D",2,"    Bacteria",100.16,99.48
"3","HUM0038","1028105071","WP_063860256.1","NG_049083.1","1","1","blaEC-18","blaEC","extended-spectrum_class_C_beta-lactamase_EC-18 NG_049083.1:101-1234","    6909","    1202","    1134","   92.68","   93.47","   99.15","  106.98","    4.40"," 4013.70","1.0e-26",160,"155","4861","1060","1051","4993","11.812019","0","13","44","0","0","37","34",1.134,29.27,2510184,61148,"D",2,"    Bacteria",93.47,99.15
"4","HUM0038","1105502076","WP_071846228.1","NG_052239.1","1","1","aadA1","aadA1","ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1 NG_052239.1:101-892","   10261","     839","     792","   96.59","   96.59","  100.00","  103.53","   10.87"," 7995.84","1.0e-26",170,"159","8594","765","765","8611","23.823384","0","20","11","0","0","68","59",0.792,29.27,2510184,61148,"D",2,"    Bacteria",96.59,100
"5","HUM0038","1105502216","WP_071846366.1","NG_052492.1","1","1","dfrA1","dfrA1","trimethoprim-resistant_dihydrofolate_reductase_DfrA1 NG_052492.1:99-572","    5799","     502","     474","   89.87","   89.87","  100.00","  111.27","   10.27"," 4450.95","1.0e-26",94,"91","4860","426","426","4867","27.428212","0","18","7","0","0","37","35",0.474,29.27,2510184,61148,"D",2,"    Bacteria",89.87,100
"6","HUM0038","446181176","WP_000259031.1","NG_048082.1","1","1","sul1","sul1","sulfonamide-resistant_dihydropteroate_synthase_Sul1 NG_048082.1:101-940","    9556","     890","     840","  100.00","  100.00","  100.00","  100.00","    9.93"," 7187.58","1.0e-26",141,"131","8308","840","840","8337","25.962232","0","20","17","0","0","64","56",0.84,29.27,2510184,61148,"D",2,"    Bacteria",100,100
"7","HUM0038","446726751","WP_000804064.1","NG_048154.1","1","1","tet(A)","tet(A)","tetracycline_efflux_MFS_transporter_Tet(A) NG_048154.1:101-1300","   15758","    1271","    1200","  100.00","  100.00","  100.00","  100.00","   10.08","12323.18","1.0e-26",314,"301","12067","1200","1200","12096","14.830267","0","20","15","0","0","90","78",1.2,29.27,2510184,61148,"D",2,"    Bacteria",100,100
"8","HUM0038","488251003","WP_002322211.1","NG_047755.1","1","1","dfrF","dfrF","trimethoprim-resistant_dihydrofolate_reductase_DfrF NG_047755.1:101-595","    3323","     525","     495","   99.80","  100.20","   99.60","   99.80","    3.12"," 2033.92","1.0e-26",121,"120","1519","496","494","1546","1.84542","0","6","3","3","0","12","12",0.495,29.27,2510184,61148,"D",2,"    Bacteria",100.2,99.6
"9","HUM0038","488624287","WP_002560998.1","NG_048269.1","1","1","tet(Q)","tet(Q)","tetracycline_resistance_ribosomal_protection_protein_Tet(Q) NG_048269.1:101-2026","   57004","    2030","    1926","   99.95","  100.00","   99.95","  100.00","   29.89","51192.90","1.0e-26",469,"415","56576","1926","1925","57560","339.878956","0","68","348","0","1","397","346",1.926,29.27,2510184,61148,"D",2,"    Bacteria",100,99.95
"10","HUM0038","488650015","WP_002586627.1","NG_048281.1","1","1","tet(W)","tet(W)","tetracycline_resistance_ribosomal_protection_protein_Tet(W) NG_048281.1:101-2020","  277485","    1965","    1920","  100.00","  100.00","  100.00","  100.00","  143.19","271642.90","1.0e-26",2298,"2041","273107","1920","1920","274932","549.008294","0","193","702","4","3","1993","1741",1.92,29.27,2510184,61148,"D",2,"    Bacteria",100,100
