#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
NODE_10797_length_2143_cov_4.219828	cds	1290	1817	-	JEIOHI_00005	padR	PadR domain-containing protein	"SO:0001217, UniRef:UniRef50_R6XN98, UniRef:UniRef90_R6XN98"
NODE_10797_length_2143_cov_4.219828	cds	1830	2141	-	JEIOHI_00010		Putative glyoxalase/Bleomycin resistance protein	"SO:0001217, UniRef:UniRef50_Q6FCW0, UniRef:UniRef90_R6XN90"
NODE_12771_length_1920_cov_96.411796	cds	68	1852	-	JEIOHI_00015	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	"COG:COG0480, COG:J, GO:0003924, GO:0005525, GO:0006412, GO:0046677, NCBIProtein:WP_002586627.1, SO:0001217, UniParc:UPI0006C5B16F, UniRef:UniRef100_A0A0M0VK20, UniRef:UniRef50_P10952, UniRef:UniRef90_O52836"
NODE_1658_length_7649_cov_7.405978	cds	28	156	-	JEIOHI_00020		UspA-related nucleotide-binding protein	"SO:0001217, UniParc:UPI0002A300F5, UniRef:UniRef100_A0A075MF32, UniRef:UniRef50_A0A075MF32, UniRef:UniRef90_A0A075MF32"
NODE_1658_length_7649_cov_7.405978	cds	191	763	-	JEIOHI_00025	sulP	"Sulfate permease or related transporter, MFS superfamily"	"COG:COG0659, COG:P, SO:0001217, UniParc:UPI0002A46668, UniRef:UniRef100_A0A218N122, UniRef:UniRef50_A0JE46, UniRef:UniRef90_A0A811T463"
NODE_1658_length_7649_cov_7.405978	cds	912	1262	-	JEIOHI_00030	tnpM	Transposon Tn21 modulator protein	"RefSeq:WP_000454193.1, SO:0001217, UniParc:UPI0000000F42, UniRef:UniRef100_P04162, UniRef:UniRef50_P04162, UniRef:UniRef90_P04162"
NODE_1658_length_7649_cov_7.405978	cds	1327	1506	+	JEIOHI_00035		Transcriptional regulator	"RefSeq:WP_001442124.1, SO:0001217, UniParc:UPI00017B83D1, UniRef:UniRef100_A0A0A6SUN9, UniRef:UniRef50_A0A0A6SUN9, UniRef:UniRef90_A0A0A6SUN9"
NODE_1658_length_7649_cov_7.405978	cds	1465	2478	-	JEIOHI_00040	intI1	class 1 integron integrase IntI1	"BlastRules:WP_000845054, COG:COG4974, COG:L, GO:0003677, GO:0006310, GO:0015074, GO:0044826, GO:0046718, GO:0075713, RefSeq:WP_000845048.1, SO:0001217, UniParc:UPI0000000166, UniRef:UniRef100_P62590, UniRef:UniRef50_P62590, UniRef:UniRef90_P62590"
NODE_1658_length_7649_cov_7.405978	cds	2510	2638	+	JEIOHI_00045		Streptomycin 3''-O-adenylyltransferase	"SO:0001217, UniParc:UPI000903A85F, UniRef:UniRef100_A0A075UJ01, UniRef:UniRef50_E6BS52, UniRef:UniRef90_E6BS52"
NODE_1658_length_7649_cov_7.405978	ncRNA-region	2568	2639	+			putative aminoglycoside riboswitch / attI site	"RFAM:RF02912, SO:0000035"
