Query	Hit	Perc_ID	qlen	length	mismatch	gapopen	qstart	qend	sstart	ssend	evalue
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_14168_length_1790_cov_51.587320;tet(Q)	100	1787	1787	0	0	1	1787	1	1787	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_8165_length_1790_cov_163.016138;tet(Q)	99.16	1787	1786	15	0	1	1786	1786	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_154_length_20451_cov_19.115758;tet(Q)	98.769	1787	1787	22	0	1	1787	7	1793	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_1042_length_8929_cov_83.902862;tet(Q)	98.769	1787	1787	22	0	1	1787	1903	117	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_8768_length_1956_cov_110.265650;tet(Q)	98.713	1787	1787	23	0	1	1787	1915	129	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_8316_length_2515_cov_49.763821;tet(Q)	98.601	1787	1787	25	0	1	1787	1915	129	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_7685_length_2491_cov_18.384236;tet(Q)	98.489	1787	1787	27	0	1	1787	7	1793	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_3761_length_4021_cov_426.657590;tet(Q)	98.265	1787	1787	31	0	1	1787	1915	129	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_4903_length_3483_cov_160.739498;tet(Q)	98.153	1787	1787	33	0	1	1787	7	1793	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_3174_length_3539_cov_24.822044;tet(Q)	97.929	1787	1787	37	0	1	1787	1915	129	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_3903_length_3463_cov_73.936326;tet(Q)	97.929	1787	1787	37	0	1	1787	1915	129	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_12054_length_1763_cov_76.912763;tet(Q)	98.182	1787	1760	32	0	1	1760	1	1760	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_9133_length_1994_cov_210.767922;tet(Q)	97.706	1787	1787	41	0	1	1787	1915	129	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_2796_length_5660_cov_98.041927;tet(Q)	97.482	1787	1787	45	0	1	1787	1915	129	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_15737_length_1698_cov_31.198418;tet(Q)	99.34	1787	1666	11	0	1	1666	1666	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_12470_length_1668_cov_254.331680;tet(Q)	99.22	1787	1667	13	0	1	1667	1	1667	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_16908_length_1668_cov_103.792312;tet(Q)	99.16	1787	1667	14	0	1	1667	1	1667	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_11146_length_1668_cov_72.492870;tet(Q)	99.1	1787	1666	15	0	1	1666	1666	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_16299_length_1693_cov_139.641636;tet(Q)	98.8	1787	1666	20	0	1	1666	1666	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_16399_length_1668_cov_85.007440;tet(Q)	98.68	1787	1667	22	0	1	1667	1	1667	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_10628_length_1693_cov_56.489011;tet(Q)	98.68	1787	1667	22	0	1	1667	7	1673	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_11423_length_1668_cov_280.386237;tet(Q)	98.44	1787	1667	26	0	1	1667	1	1667	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_10661_length_1668_cov_363.684439;tet(Q)	98.38	1787	1667	27	0	1	1667	1	1667	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_9824_length_1671_cov_119.665223;tet(Q)	98.902	1787	1639	18	0	1	1639	1639	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_9057_length_1668_cov_79.481711;tet(Q)	98.319	1787	1666	28	0	1	1666	1666	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_10185_length_1668_cov_126.024179;tet(Q)	98.26	1787	1667	29	0	1	1667	1	1667	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_8066_length_1668_cov_27.871668;tet(Q)	98.259	1787	1666	29	0	1	1666	1666	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_16313_length_1668_cov_119.587725;tet(Q)	98.139	1787	1666	31	0	1	1666	1666	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_11488_length_1577_cov_220.603154;tet(Q)	99.936	1787	1573	1	0	1	1573	1573	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_8925_length_1668_cov_114.340360;tet(Q)	98.02	1787	1667	33	0	1	1667	1	1667	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_3309_length_1572_cov_154.325643;tet(Q)	99.49	1787	1570	8	0	1	1570	1570	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_14920_length_1601_cov_22.181113;tet(Q)	99.299	1787	1570	11	0	1	1570	1570	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_14049_length_1577_cov_172.388962;tet(Q)	99.174	1787	1573	13	0	1	1573	1573	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_12600_length_1577_cov_272.112352;tet(Q)	99.047	1787	1574	15	0	1	1574	1	1574	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_14287_length_1595_cov_184.539610;tet(Q)	98.617	1787	1591	22	0	1	1591	1591	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_12085_length_1601_cov_37.942432;tet(Q)	98.497	1787	1597	24	0	1	1597	1597	1	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_14593_length_1572_cov_255.901780;tet(Q)	98.982	1787	1571	16	0	1	1571	1	1571	0
NODE_14168_length_1790_cov_51.587320;tet(Q)	NODE_10503_length_1577_cov_51.844941;tet(Q)	98.919	1787	1573	17	0	1	1573	1573	1	0
