Sample_ID,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
HUM0038_S10_R1_001amrf_output,NA,NODE_10797_length_2143_cov_4.219828,2,1240,-,tet(44),tetracycline resistance ribosomal protection protein Tet(44),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,413,640,64.53,95.88,413,WP_003454408.1,tetracycline resistance ribosomal protection protein Tet(44),NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_123875_length_428_cov_2.292225,145,426,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,PARTIAL_CONTIG_ENDX,94,164,57.32,100,94,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_12771_length_1920_cov_96.411796,71,1918,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,616,639,96.4,99.19,616,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_14168_length_1790_cov_51.587320,1,1788,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,596,641,92.98,98.32,596,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_1658_length_7649_cov_7.405978,2635,3105,+,dfrA1,trimethoprim-resistant dihydrofolate reductase DfrA1,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,157,157,100,100,157,WP_000777555.1,trimethoprim-resistant dihydrofolate reductase DfrA1,NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_1658_length_7649_cov_7.405978,3201,3989,+,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100,100,263,WP_001206317.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_1658_length_7649_cov_7.405978,4156,4500,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_1658_length_7649_cov_7.405978,4497,5333,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100,100,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_2785_length_5222_cov_8.772015,3806,4885,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.89,360,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_5315_length_3366_cov_5.625491,749,1945,-,tet(A),tetracycline efflux MFS transporter Tet(A),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,399,399,100,100,399,WP_000804064.1,tetracycline efflux MFS transporter Tet(A),NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_5807_length_3187_cov_18.301086,42,1958,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.53,639,WP_014636291.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0038_S10_R1_001amrf_output,NA,NODE_841_length_12490_cov_35.928428,3,1850,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,616,639,96.4,100,616,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0041_S14_R1_001amrf_output,NA,NODE_11039_length_2059_cov_50.030938,9,1925,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0041_S14_R1_001amrf_output,NA,NODE_19985_length_1392_cov_13.415856,164,1381,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,406,406,100,99.75,406,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0041_S14_R1_001amrf_output,NA,NODE_28762_length_1110_cov_39.140284,42,1109,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,356,639,55.71,100,356,WP_044666383.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0041_S14_R1_001amrf_output,NA,NODE_3839_length_4335_cov_25.109346,1644,3560,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0041_S14_R1_001amrf_output,NA,NODE_4446_length_3921_cov_6.128815,751,1218,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,BLASTX,156,164,95.12,100,156,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0041_S14_R1_001amrf_output,NA,NODE_80474_length_604_cov_2.828780,1,603,-,cfiA,CfiA family subclass B1 metallo-beta-lactamase,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,PARTIAL_CONTIG_ENDX,201,249,80.72,100,201,WP_005821510.1,subclass B1 metallo-beta-lactamase CfiA4,NA,NA
HUM0041_S14_R1_001amrf_output,NA,NODE_8316_length_2515_cov_49.763821,349,2271,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,641,641,100,97.82,641,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0042_S1_R1_001amrf_output,NA,NODE_11748_length_2003_cov_24.278234,2,1204,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,401,639,62.75,99.75,401,WP_012669445.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0042_S1_R1_001amrf_output,NA,NODE_1226_length_9228_cov_28.147825,30,1946,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0042_S1_R1_001amrf_output,NA,NODE_1226_length_9228_cov_28.147825,7271,9187,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.84,639,WP_009305318.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0042_S1_R1_001amrf_output,NA,NODE_13062_length_1867_cov_3.533664,258,1865,-,tet(44),tetracycline resistance ribosomal protection protein Tet(44),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,536,640,83.75,95.52,536,WP_003454408.1,tetracycline resistance ribosomal protection protein Tet(44),NA,NA
HUM0042_S1_R1_001amrf_output,NA,NODE_14161_length_1777_cov_11.603949,2,1708,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,569,641,88.77,90.16,569,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0042_S1_R1_001amrf_output,NA,NODE_16618_length_1600_cov_7.312621,63,1280,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,406,406,100,99.51,406,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0042_S1_R1_001amrf_output,NA,NODE_20754_length_1390_cov_18.335581,3,1388,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,462,641,72.07,99.57,462,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
